Varlık,Statik Sharpe,Dinamik Sharpe,Sharpe Artışı,Statik MaxDD,Dinamik MaxDD,MaxDD İyileşmesi,Statik Getiri (Yıllık),Dinamik Getiri (Yıllık),Yönsel İsabet Oranı
Altın (XAU),3.35,3.64,+0.29,%-10.9,%-21.2,+%-10.3,%13.8,%20.3,%57.4
Gümüş (XAG),3.67,4.31,+0.64,%-19.8,%-26.3,+%-6.5,%33.1,%50.7,%56.8
Nasdaq 100 (NQ),3.62,4.35,+0.73,%-20.0,%-6.5,+%13.5,%28.1,%18.7,%60.4
S&P 500 (SPX),3.03,3.61,+0.58,%-19.0,%-4.1,+%14.9,%24.1,%14.8,%59.1
Kripto (BTC),3.31,3.31,+0.00,%-26.5,%-27.4,+%-1.0,%50.9,%31.9,%56.3
Ham Petrol (WTI),1.02,1.85,+0.83,%-13.2,%-25.3,+%-12.0,%10.2,%26.3,%52.4
Bakır (HG),0.87,0.89,+0.02,%-11.3,%-16.7,+%-5.4,%6.0,%7.0,%58.9
ABD Tahvili / Faiz (TLT),-1.56,-1.56,+0.00,%-44.1,%-42.9,+%1.3,%-5.1,%-5.5,%45.8
